;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Fars;Entropy;p-sample-uniqueness;0.006;0.22681986634178686;3.633949889535056;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.006;0.11693438948600975;4.102559021964196;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.007;0.22587220236327912;3.533887474365198;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.007;0.11600129292583998;4.002496606794336;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.008;0.2249743947570749;3.43382505919534;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.008;0.11506817703605188;3.9024341916244785;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.009;0.22404974139593128;3.3337626440254815;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.009;0.1141350417771607;3.80237177645462;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;p-sample-uniqueness;0.01;0.22310557717499563;3.233700228855623;(100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Fars;Loss;p-sample-uniqueness;0.01;0.11320188710957008;3.702309361284762;(60%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;k-anonymity;0.001;0.2620285194419879;4.607824682722886;(100%, 0%, 0%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;k-anonymity;0.001;0.14216450791625632;4.104540455927955;(60%, 0%, 33%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;k-anonymity;0.002;0.2765155294106112;6.310867174574239;(100%, 0%, 0%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;k-anonymity;0.002;0.1529831448343177;5.296372985129338;(60%, 0%, 33%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;k-anonymity;0.003;0.2913001717567619;8.086232006102817;(100%, 0%, 0%, 67%, 0%, 0%, 0%, 0%)
Fars;Loss;k-anonymity;0.003;0.16280366718500633;6.378235929342065;(60%, 0%, 33%, 33%, 0%, 0%, 33%, 0%)
Fars;Entropy;k-anonymity;0.004;0.3260388094953002;8.059482647592063;(100%, 0%, 0%, 33%, 0%, 0%, 33%, 0%)
Fars;Loss;k-anonymity;0.004;0.1980274144797094;5.468757739976421;(80%, 0%, 33%, 33%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.005;0.34300444992326135;7.091552156295511;(100%, 0%, 0%, 67%, 0%, 0%, 33%, 0%)
Fars;Loss;k-anonymity;0.005;0.21165840647726789;7.039044156255882;(80%, 0%, 33%, 33%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.006;0.3548313818646147;8.588525515915869;(100%, 0%, 0%, 67%, 0%, 0%, 33%, 0%)
Fars;Loss;k-anonymity;0.006;0.22621396793369766;5.731297740174565;(80%, 0%, 67%, 33%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.007;0.3635458830138773;9.743701516787699;(100%, 0%, 0%, 67%, 0%, 0%, 33%, 0%)
Fars;Loss;k-anonymity;0.007;0.23415283149186578;6.396068835015901;(80%, 0%, 33%, 67%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.008;0.3903329334791802;9.707044988458147;(100%, 0%, 0%, 100%, 0%, 0%, 33%, 0%)
Fars;Loss;k-anonymity;0.008;0.2666400188111089;7.147032307280779;(80%, 0%, 67%, 67%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.009;0.4040998952968004;7.635455779347514;(100%, 0%, 0%, 67%, 0%, 0%, 100%, 0%)
Fars;Loss;k-anonymity;0.009;0.29141719522622556;10.164756234086608;(80%, 0%, 67%, 67%, 0%, 0%, 67%, 0%)
Fars;Entropy;k-anonymity;0.01;0.41516368183422336;9.035338874743653;(100%, 0%, 0%, 67%, 0%, 0%, 100%, 0%)
Fars;Loss;k-anonymity;0.01;0.31441517707136113;9.13837344085915;(100%, 0%, 67%, 33%, 0%, 0%, 67%, 0%)
Atus;Entropy;p-sample-uniqueness;0.001;0.1498692261184871;4.465065562917592;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.001;0.05873199062193075;3.5640042799947333;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.002;0.14845903048234976;4.365112479670953;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.002;0.05773625074492466;3.4640511967480943;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.003;0.14705685171000413;4.2651593964243135;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.003;0.05674356247277829;3.3640981135014547;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.004;0.14563458784356512;4.165020871464786;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Loss;p-sample-uniqueness;0.004;0.055758048492536745;3.2639595885419275;(0%, 60%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
Atus;Entropy;p-sample-uniqueness;0.005;0.14422609021773966;4.065067788218146;(0%, 40%, 0%, 0%, 0%, 0%, 50%, 0%, 0%)
